year,gender,30s,40s,early_20s,late_20s,over_50s,under_20
2001,여성,-19,-33,-251,-85,-3,-29
2002,여성,-32,-39,-285,-52,10,-88
2003,여성,-39,-41,-363,-80,27,-58
2004,여성,30,-12,-309,-53,-3,-73
2005,여성,75,36,-344,-36,-13,-50
2006,여성,20,77,-302,-13,39,-55
2007,여성,80,47,-297,-10,-25,-30
2008,여성,123,58,-232,17,40,-32
2009,여성,103,29,-239,10,-6,-48
2010,여성,8,4,-312,-72,-63,-64
2011,여성,112,94,-268,-44,138,NA
2012,여성,60,26,-271,-57,-33,-52
2013,여성,34,70,-289,-17,-4,-35
2014,여성,93,74,-259,-9,-8,-57
2015,여성,106,80,-286,-23,-6,-45
2016,여성,9,-32,-381,-119,-34,-59
