지 역,month,rate
경남전체,2013-01-01,92.63
거제,2013-01-01,94.638
경남전체,2013-02-01,92.738
거제,2013-02-01,94.797
경남전체,2013-03-01,92.86
거제,2013-03-01,94.891
경남전체,2013-04-01,93.008
거제,2013-04-01,95.078
경남전체,2013-05-01,93.142
거제,2013-05-01,95.218
경남전체,2013-06-01,93.297
거제,2013-06-01,95.414
경남전체,2013-07-01,93.383
거제,2013-07-01,95.48
경남전체,2013-08-01,93.395
거제,2013-08-01,95.531
경남전체,2013-09-01,93.452
거제,2013-09-01,95.573
경남전체,2013-10-01,93.611
거제,2013-10-01,95.778
경남전체,2013-11-01,93.76
거제,2013-11-01,95.868
경남전체,2013-12-01,93.896
거제,2013-12-01,95.96
경남전체,2014-01-01,93.986
거제,2014-01-01,96.097
경남전체,2014-02-01,94.117
거제,2014-02-01,96.261
경남전체,2014-03-01,94.249
거제,2014-03-01,96.431
경남전체,2014-04-01,94.414
거제,2014-04-01,96.694
경남전체,2014-05-01,94.552
거제,2014-05-01,96.921
경남전체,2014-06-01,94.735
거제,2014-06-01,97.128
경남전체,2014-07-01,94.924
거제,2014-07-01,97.441
경남전체,2014-08-01,95.028
거제,2014-08-01,97.476
경남전체,2014-09-01,95.196
거제,2014-09-01,97.666
경남전체,2014-10-01,95.428
거제,2014-10-01,97.967
경남전체,2014-11-01,95.568
거제,2014-11-01,98.083
경남전체,2014-12-01,95.748
거제,2014-12-01,98.326
경남전체,2015-01-01,95.886
거제,2015-01-01,98.598
경남전체,2015-02-01,96.014
거제,2015-02-01,98.743
경남전체,2015-03-01,96.197
거제,2015-03-01,98.913
경남전체,2015-04-01,96.389
거제,2015-04-01,99.111
경남전체,2015-05-01,96.549
거제,2015-05-01,99.258
경남전체,2015-06-01,96.73
거제,2015-06-01,99.411
경남전체,2015-07-01,96.91
거제,2015-07-01,99.583
경남전체,2015-08-01,97.078
거제,2015-08-01,99.757
경남전체,2015-09-01,97.251
거제,2015-09-01,99.937
경남전체,2015-10-01,97.466
거제,2015-10-01,100.107
경남전체,2015-11-01,97.667
거제,2015-11-01,100.29
경남전체,2015-12-01,97.885
거제,2015-12-01,100.483
경남전체,2016-01-01,98.077
거제,2016-01-01,100.636
경남전체,2016-02-01,98.252
거제,2016-02-01,100.753
경남전체,2016-03-01,98.45
거제,2016-03-01,100.73
경남전체,2016-04-01,98.626
거제,2016-04-01,100.589
경남전체,2016-05-01,98.797
거제,2016-05-01,100.419
경남전체,2016-06-01,98.99
거제,2016-06-01,100.289
경남전체,2016-07-01,99.169
거제,2016-07-01,100.194
경남전체,2016-08-01,99.365
거제,2016-08-01,100.117
경남전체,2016-09-01,99.563
거제,2016-09-01,100.062
경남전체,2016-10-01,99.78
거제,2016-10-01,100.011
경남전체,2016-11-01,100
거제,2016-11-01,100
경남전체,2016-12-01,100.194
거제,2016-12-01,99.999
경남전체,2017-01-01,100.377
거제,2017-01-01,99.921
경남전체,2017-02-01,100.572
거제,2017-02-01,99.839
경남전체,2017-03-01,100.855
거제,2017-03-01,99.807
경남전체,2017-04-01,101.126
거제,2017-04-01,99.753
경남전체,2017-05-01,101.38
거제,2017-05-01,99.762
경남전체,2017-06-01,101.686
거제,2017-06-01,99.834
경남전체,2017-07-01,101.993
거제,2017-07-01,99.859
경남전체,2017-08-01,102.259
거제,2017-08-01,99.861
경남전체,2017-09-01,102.525
거제,2017-09-01,99.961
경남전체,2017-10-01,102.757
거제,2017-10-01,100.056
경남전체,2017-11-01,103.034
거제,2017-11-01,100.187
경남전체,2017-12-01,103.294
거제,2017-12-01,100.332
경남전체,2018-01-01,103.553
거제,2018-01-01,100.476
