code,region,city,district,fullname,region_code,city_code,district_code
1100000000,서울특별시,NA,NA,서울특별시,11,11000,1100000000
1111000000,서울특별시,종로구,NA,서울특별시 종로구,11,11110,1111000000
1111051000,서울특별시,종로구,청운동,서울특별시 종로구 청운동,11,11110,1111051000
1111051500,서울특별시,종로구,청운효자동,서울특별시 종로구 청운효자동,11,11110,1111051500
1111052000,서울특별시,종로구,효자동,서울특별시 종로구 효자동,11,11110,1111052000
1111053000,서울특별시,종로구,사직동,서울특별시 종로구 사직동,11,11110,1111053000
1111054000,서울특별시,종로구,삼청동,서울특별시 종로구 삼청동,11,11110,1111054000
1111055000,서울특별시,종로구,부암동,서울특별시 종로구 부암동,11,11110,1111055000
1111056000,서울특별시,종로구,평창동,서울특별시 종로구 평창동,11,11110,1111056000
1111057000,서울특별시,종로구,무악동,서울특별시 종로구 무악동,11,11110,1111057000
1111058000,서울특별시,종로구,교남동,서울특별시 종로구 교남동,11,11110,1111058000
1111059000,서울특별시,종로구,세종로동,서울특별시 종로구 세종로동,11,11110,1111059000
1111060000,서울특별시,종로구,가회동,서울특별시 종로구 가회동,11,11110,1111060000
1111061000,서울특별시,종로구,종로1.2가동,서울특별시 종로구 종로1.2가동,11,11110,1111061000
1111061500,서울특별시,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동,11,11110,1111061500
1111062000,서울특별시,종로구,종로3.4가동,서울특별시 종로구 종로3.4가동,11,11110,1111062000
1111063000,서울특별시,종로구,종로5.6가동,서울특별시 종로구 종로5.6가동,11,11110,1111063000
1111064000,서울특별시,종로구,이화동,서울특별시 종로구 이화동,11,11110,1111064000
1111065000,서울특별시,종로구,혜화동,서울특별시 종로구 혜화동,11,11110,1111065000
1111066000,서울특별시,종로구,명륜3가동,서울특별시 종로구 명륜3가동,11,11110,1111066000
1111067000,서울특별시,종로구,창신제1동,서울특별시 종로구 창신제1동,11,11110,1111067000
1111068000,서울특별시,종로구,창신제2동,서울특별시 종로구 창신제2동,11,11110,1111068000
1111069000,서울특별시,종로구,창신제3동,서울특별시 종로구 창신제3동,11,11110,1111069000
1111070000,서울특별시,종로구,숭인제1동,서울특별시 종로구 숭인제1동,11,11110,1111070000
1111071000,서울특별시,종로구,숭인제2동,서울특별시 종로구 숭인제2동,11,11110,1111071000
1114000000,서울특별시,중구,NA,서울특별시 중구,11,11140,1114000000
1114051000,서울특별시,중구,태평로1가동,서울특별시 중구 태평로1가동,11,11140,1114051000
1114052000,서울특별시,중구,소공동,서울특별시 중구 소공동,11,11140,1114052000
1114053000,서울특별시,중구,남대문로5가동,서울특별시 중구 남대문로5가동,11,11140,1114053000
1114054000,서울특별시,중구,회현동,서울특별시 중구 회현동,11,11140,1114054000
1114055000,서울특별시,중구,명동,서울특별시 중구 명동,11,11140,1114055000
1114056000,서울특별시,중구,충무로4.5가동,서울특별시 중구 충무로4.5가동,11,11140,1114056000
1114057000,서울특별시,중구,필동,서울특별시 중구 필동,11,11140,1114057000
1114058000,서울특별시,중구,장충동,서울특별시 중구 장충동,11,11140,1114058000
1114059000,서울특별시,중구,광희동,서울특별시 중구 광희동,11,11140,1114059000
1114060000,서울특별시,중구,을지로3.4.5가동,서울특별시 중구 을지로3.4.5가동,11,11140,1114060000
1114060500,서울특별시,중구,을지로동,서울특별시 중구 을지로동,11,11140,1114060500
1114061000,서울특별시,중구,신당제1동,서울특별시 중구 신당제1동,11,11140,1114061000
1114061500,서울특별시,중구,신당동,서울특별시 중구 신당동,11,11140,1114061500
1114062000,서울특별시,중구,신당제2동,서울특별시 중구 신당제2동,11,11140,1114062000
1114062500,서울특별시,중구,다산동,서울특별시 중구 다산동,11,11140,1114062500
1114063000,서울특별시,중구,신당제3동,서울특별시 중구 신당제3동,11,11140,1114063000
1114063500,서울특별시,중구,약수동,서울특별시 중구 약수동,11,11140,1114063500
1114064000,서울특별시,중구,신당제4동,서울특별시 중구 신당제4동,11,11140,1114064000
1114064500,서울특별시,중구,청구동,서울특별시 중구 청구동,11,11140,1114064500
