구분,year,population
계,계,13724
남,계,10114
여,계,3610
계,그리스,75
남,그리스,54
여,그리스,21
계,남아프리카공화국,75
남,남아프리카공화국,59
여,남아프리카공화국,16
계,네덜란드,87
남,네덜란드,67
여,네덜란드,11
계,네팔,610
남,네팔,599
여,네팔,10
계,노르웨이,811
남,노르웨이,689
여,노르웨이,122
계,뉴질랜드,51
남,뉴질랜드,40
여,뉴질랜드,11
계,덴마크,98
남,덴마크,73
여,덴마크,25
계,독일,36
남,독일,30
여,독일,6
계,러시아,70
남,러시아,34
여,러시아,36
계,루마니아,29
남,루마니아,15
여,루마니아,14
계,말레이지아,439
남,말레이지아,351
여,말레이지아,88
계,몽골,60
남,몽골,46
여,몽골,14
계,미국,613
남,미국,493
여,미국,120
계,미얀마,369
남,미얀마,360
여,미얀마,9
계,방글라데시,14
남,방글라데시,12
여,방글라데시,2
계,베트남,1137
남,베트남,650
여,베트남,487
계,벨기에,15
남,벨기에,10
여,벨기에,5
계,불가리아,14
남,불가리아,7
여,불가리아,7
계,브라질,109
남,브라질,82
여,브라질,27
계,스리랑카,586
남,스리랑카,582
여,스리랑카,4
계,스웨덴,35
남,스웨덴,28
여,스웨덴,7
계,스페인,12
남,스페인,7
여,스페인,5
계,싱가포르,144
남,싱가포르,103
여,싱가포르,41
계,아르헨티나,6
남,아르헨티나,4
여,아르헨티나,2
계,아일랜드,31
남,아일랜드,21
여,아일랜드,10
계,앙골라,11
남,앙골라,7
여,앙골라,4
계,영국,688
남,영국,575
여,영국,113
계,우즈베키스탄,1137
남,우즈베키스탄,1087
여,우즈베키스탄,50
계,우크라이나,53
남,우크라이나,36
여,우크라이나,17
계,이란,24
남,이란,16
여,이란,8
계,이집트,7
남,이집트,7
여,이집트,NA
계,이탈리아,42
남,이탈리아,35
여,이탈리아,7
계,인도,848
남,인도,505
여,인도,343
계,인도네시아,666
남,인도네시아,615
여,인도네시아,51
계,일본,88
남,일본,21
여,일본,65
계,중국,1441
남,중국,789
여,중국,652
계,체코,6
남,체코,6
여,체코,NA
계,카자흐스탄,15
남,카자흐스탄,12
여,카자흐스탄,3
계,캄보디아,178
남,캄보디아,131
여,캄보디아,47
계,캐나다,87
남,캐나다,67
여,캐나다,20
계,크로아티아,32
남,크로아티아,27
여,크로아티아,5
계,타이,323
남,타이,267
여,타이,56
계,타이완,23
남,타이완,14
여,타이완,9
계,터키,10
남,터키,8
여,터키,2
계,티모르민주공화국,52
남,티모르민주공화국,52
여,티모르민주공화국,NA
계,파키스탄,25
남,파키스탄,24
여,파키스탄,1
계,폴란드,56
남,폴란드,40
여,폴란드,16
계,프랑스,682
남,프랑스,460
여,프랑스,222
계,핀란드,9
남,핀란드,6
여,핀란드,3
계,필리핀,781
남,필리핀,287
여,필리핀,494
계,오스트리아,7
남,오스트리아,7
여,오스트리아,NA
계,오스트레일리아,675
남,오스트레일리아,462
여,오스트레일리아,213
계,홍콩,2
남,홍콩,2
여,홍콩,NA
계,기타,230
남,기타,133
여,기타,97
