country,계,남,여
가나,1,1,NA
그리스,47,35,12
나이지리아,27,15,12
남아프리카공화국,33,19,14
네덜란드,14,12,2
네팔,688,671,17
노르웨이,474,397,77
뉴질랜드,22,19,3
덴마크,24,21,3
도미니카공화국,2,1,1
독일,23,18,5
라오스,5,NA,5
러시아,50,18,32
레바논,3,2,1
루마니아,48,30,18
리투아니아,3,2,1
마다가스카르,2,NA,2
말레이시아,153,114,39
멕시코,1,1,NA
모로코,2,1,1
몽골,43,32,11
미국,250,170,80
미얀마,370,368,2
방글라데시,4,4,NA
베네수엘라,10,5,5
베트남,1086,594,492
벨기에,8,5,3
벨로루시,1,1,NA
불가리아,6,3,3
브라질,19,10,9
브루나이,1,1,NA
세르비아,1,1,NA
소계,9089,6538,2551
스리랑카,397,393,4
스웨덴,21,16,5
스위스,4,3,1
스페인,4,2,2
슬로베니아,1,1,NA
시리아,1,1,NA
시에라리온,2,1,1
싱가포르,42,32,10
아르헨티나,4,2,2
아이슬란드,4,2,2
아일랜드,21,15,6
아제르바이잔,2,NA,2
에스토니아,1,1,NA
엘살바도르,1,NA,1
영국,328,276,52
예멘공화국,1,1,NA
오스트레일리아,81,57,24
오스트리아,1,1,NA
우즈베키스탄,977,904,73
우크라이나,20,11,9
이란,9,6,3
이집트,4,2,2
이탈리아,33,26,7
인도,427,246,181
인도네시아,492,453,39
일본,127,48,79
중국,588,240,348
짐바브웨,1,1,NA
칠레,1,NA,1
카자흐스탄,49,28,21
캄보디아,129,97,32
캐나다,39,24,15
코트디부아르,4,2,2
콜롬비아,2,NA,2
크로아티아,13,10,3
키르기스스탄,23,14,9
타이,290,235,55
타이완,25,10,15
터키,6,6,NA
튀니지,6,2,4
티모르민주공화국,71,71,NA
파키스탄,13,7,6
페루,1,1,NA
포르투갈,1,1,NA
폴란드,25,19,6
프랑스,235,178,57
핀란드,7,6,1
필리핀,451,140,311
한국계중국인,678,371,307
헝가리,2,1,1
홍콩,3,3,NA
