country,2014,2015,2016,2017
우즈베키스탄,1137,1324,1342,977
베트남,1137,1234,1228,1086
노르웨이,811,1013,704,474
한국계중국인,NA,983,916,678
네팔,610,959,953,688
인도,848,922,716,427
프랑스,682,811,855,235
필리핀,781,751,621,451
오스트레일리아,675,727,846,81
스리랑카,586,695,641,397
영국,688,688,669,328
인도네시아,666,662,897,492
중국,1441,604,631,588
미얀마,369,504,484,370
말레이시아,NA,452,220,153
타이,323,423,445,290
미국,613,395,308,250
캄보디아,178,183,184,129
싱가포르,144,141,80,42
덴마크,98,124,67,24
일본,88,111,149,127
러시아,70,97,80,50
캐나다,87,82,74,39
남아프리카공화국,75,75,51,33
네덜란드,87,74,68,14
나이지리아,NA,73,72,27
티모르민주공화국,52,60,70,71
몽골,60,56,64,43
독일,36,56,30,23
그리스,75,54,55,47
스웨덴,35,49,31,21
우크라이나,53,49,30,20
이탈리아,42,47,51,33
뉴질랜드,51,47,43,22
폴란드,56,42,34,25
아일랜드,31,36,32,21
루마니아,29,31,53,48
브라질,109,28,19,19
파키스탄,25,24,45,13
이란,24,23,22,9
타이완,23,23,21,25
포르투갈,NA,23,18,1
키르기스스탄,NA,20,27,23
크로아티아,32,20,17,13
카자흐스탄,15,19,25,49
베네수엘라,NA,17,16,10
스페인,12,14,9,4
벨기에,15,13,10,8
터키,10,12,12,6
아제르바이잔,NA,12,6,2
불가리아,14,11,11,6
방글라데시,14,11,8,4
튀니지,NA,9,9,6
알제리,NA,9,9,NA
아이슬란드,NA,9,7,4
브루나이,NA,8,8,1
핀란드,9,8,7,7
아르헨티나,6,8,6,4
콜롬비아,NA,7,7,2
세르비아,NA,6,5,1
멕시코,NA,6,2,1
오스트리아,7,6,1,1
모로코,NA,5,5,2
라오스,NA,4,6,5
예멘공화국,NA,4,5,1
코트디부아르,NA,4,4,4
리투아니아,NA,4,2,3
체코,6,4,NA,NA
레바논,NA,3,5,3
스위스,NA,3,2,4
아랍에미리트연합,NA,3,1,NA
가봉,NA,3,NA,NA
도미니카공화국,NA,2,2,2
헝가리,NA,2,1,2
벨로루시,NA,2,1,1
짐바브웨,NA,2,1,1
몬테네그로,NA,2,1,NA
볼리비아,NA,2,NA,NA
오만,NA,2,NA,NA
콩고,NA,2,NA,NA
앙골라,11,1,4,NA
가나,NA,1,4,1
칠레,NA,1,2,1
케냐,NA,1,2,NA
슬로베니아,NA,1,1,1
시리아,NA,1,1,1
엘살바도르,NA,1,1,1
모리셔스,NA,1,1,NA
아프가니스탄,NA,1,1,NA
이라크,NA,1,1,NA
탄자니아,NA,1,1,NA
파나마,NA,1,1,NA
이집트,7,1,NA,4
마케도니아,NA,1,NA,NA
요르단,NA,1,NA,NA
카메룬,NA,1,NA,NA
쿠바,NA,1,NA,NA
키프로스,NA,1,NA,NA
에코,NA,NA,8,NA
홍콩,2,NA,5,3
라트비아,NA,NA,2,NA
슬로바크,NA,NA,2,NA
마다가스카르,NA,NA,1,2
페루,NA,NA,1,1
보스니아-헤르체코비나,NA,NA,1,NA
카타르,NA,NA,1,NA
말레이지아,439,NA,NA,NA
기타,230,NA,NA,NA
시에라리온,NA,NA,NA,2
에스토니아,NA,NA,NA,1
